"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006119" "BP" "GO:0006119" "oxidative phosphorylation" "17/539" "145/18670" 1.00857916858796e-06 0.004104917216153 0.00386020405998508 "NDUFB4/COX7A2/ATP5ME/NDUFB10/NDUFS8/ISCU/NDUFB1/ATP5MC1/NDUFA4/UQCC2/COX6B1/NDUFA12/NDUFS2/ATP5MC2/AK4/NDUFB6/ATP5F1D" 17
"GO:0009205" "BP" "GO:0009205" "purine ribonucleoside triphosphate metabolic process" "26/539" "335/18670" 5.24531038983855e-06 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/MOCOS/NDUFB10/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/NME2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 26
"GO:0009199" "BP" "GO:0009199" "ribonucleoside triphosphate metabolic process" "26/539" "341/18670" 7.21255853054285e-06 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/MOCOS/NDUFB10/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/NME2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 26
"GO:0009144" "BP" "GO:0009144" "purine nucleoside triphosphate metabolic process" "26/539" "342/18670" 7.59928567591352e-06 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/MOCOS/NDUFB10/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/NME2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 26
"GO:0010498" "BP" "GO:0010498" "proteasomal protein catabolic process" "32/539" "477/18670" 9.55367913739424e-06 0.00502838156489408 0.00472861641535106 "ANAPC7/PSMA2/STYX/NR1D1/PSMD9/AURKA/SIAH1/ANAPC15/RAD23B/BAG5/GLMN/PSMB1/COMMD1/RNF19A/CUL2/UBC/SPSB2/PSEN1/SYVN1/STT3B/PSMC1/STUB1/UBXN1/UBE2A/SCO1/HSP90AB3P/CLOCK/GET4/CDC34/ZFAND2A/GCLC/RNF40" 32
"GO:0046034" "BP" "GO:0046034" "ATP metabolic process" "24/539" "305/18670" 9.55563983788879e-06 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/NDUFB10/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 24
"GO:0071826" "BP" "GO:0071826" "ribonucleoprotein complex subunit organization" "23/539" "291/18670" 1.36023823253009e-05 0.00502838156489408 0.00472861641535106 "SRPK2/RPS15/EIF3B/CPSF6/GCFC2/TRAF7/RPS5/EIF3L/RSL24D1/MTIF3/PWP2/RPS27L/GEMIN5/RPS10/RUVBL1/LSM4/SNRPD2/SNRPF/EIF3G/POLR2D/EIF3D/CELF1/STRAP" 23
"GO:0009161" "BP" "GO:0009161" "ribonucleoside monophosphate metabolic process" "26/539" "354/18670" 1.39652322074119e-05 0.00502838156489408 0.00472861641535106 "NDUFB4/PRPS1/COX7A2/ATP5ME/PFKL/CLPX/NDUFB10/MPP1/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 26
"GO:0000377" "BP" "GO:0000377" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" "27/539" "379/18670" 1.65543975345699e-05 0.00502838156489408 0.00472861641535106 "SRPK2/GCFC2/MAGOH/RBFOX2/CWF19L1/POLR2C/SF3B5/POLR2G/LSM7/GEMIN5/SF3B4/LSM4/POLR2F/RBM3/SNRPD2/CWC25/CSTF1/DYRK1A/DHX15/SNRPF/DDX39A/POLR2D/ZCCHC8/CELF1/POLR2I/RBM4B/STRAP" 27
"GO:0000398" "BP" "GO:0000398" "mRNA splicing, via spliceosome" "27/539" "379/18670" 1.65543975345699e-05 0.00502838156489408 0.00472861641535106 "SRPK2/GCFC2/MAGOH/RBFOX2/CWF19L1/POLR2C/SF3B5/POLR2G/LSM7/GEMIN5/SF3B4/LSM4/POLR2F/RBM3/SNRPD2/CWC25/CSTF1/DYRK1A/DHX15/SNRPF/DDX39A/POLR2D/ZCCHC8/CELF1/POLR2I/RBM4B/STRAP" 27
"GO:0000375" "BP" "GO:0000375" "RNA splicing, via transesterification reactions" "27/539" "382/18670" 1.90418027636077e-05 0.00502838156489408 0.00472861641535106 "SRPK2/GCFC2/MAGOH/RBFOX2/CWF19L1/POLR2C/SF3B5/POLR2G/LSM7/GEMIN5/SF3B4/LSM4/POLR2F/RBM3/SNRPD2/CWC25/CSTF1/DYRK1A/DHX15/SNRPF/DDX39A/POLR2D/ZCCHC8/CELF1/POLR2I/RBM4B/STRAP" 27
"GO:0022618" "BP" "GO:0022618" "ribonucleoprotein complex assembly" "22/539" "277/18670" 1.9351408640473e-05 0.00502838156489408 0.00472861641535106 "SRPK2/RPS15/EIF3B/CPSF6/GCFC2/TRAF7/RPS5/EIF3L/RSL24D1/PWP2/RPS27L/GEMIN5/RPS10/RUVBL1/LSM4/SNRPD2/SNRPF/EIF3G/POLR2D/EIF3D/CELF1/STRAP" 22
"GO:0009167" "BP" "GO:0009167" "purine ribonucleoside monophosphate metabolic process" "25/539" "340/18670" 1.99920335457167e-05 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/NDUFB10/MPP1/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 25
"GO:0033108" "BP" "GO:0033108" "mitochondrial respiratory chain complex assembly" "12/539" "96/18670" 2.04322638063678e-05 0.00502838156489408 0.00472861641535106 "NDUFB4/PET100/NDUFB10/NDUFAF7/NDUFS8/IMMP2L/NDUFB1/UQCC2/NDUFA12/SCO1/NDUFS2/NDUFB6" 12
